dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,80,110,982,0.1,0.999,0.97,0.975,0.965,0.784,0.947,0.903
liver,103,48,295,0.1,0.999,0.963,0.985,0.942,0.915,0.938,0.974
lung,281,59,503,0.1,0.999,0.946,0.987,0.909,0.898,0.908,0.96
prostate,95,48,426,0.1,0.999,0.837,0.948,0.749,0.635,0.738,0.729
stomach,172,33,380,0.1,0.999,0.957,0.943,0.97,0.33,0.919,0.546
thyroid,286,53,441,0.1,0.999,0.952,0.974,0.93,0.792,0.916,0.892
