dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,26,110,982,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.898
liver,34,48,295,0.1,0.999,0.929,0.872,0.996,0.088,0.869,0.971
lung,93,59,503,0.1,0.999,0.97,0.984,0.955,0.868,0.946,0.958
prostate,31,48,426,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.676
stomach,57,33,380,0.1,0.999,0.962,0.934,0.992,0.197,0.928,0.52
thyroid,95,53,441,0.1,0.999,0.961,0.969,0.953,0.747,0.931,0.892
