dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,35,110,982,0.1,0.999,0.947,0.9,1.0,0.009,0.9,0.899
liver,46,48,295,0.1,0.999,0.96,0.949,0.973,0.65,0.928,0.976
lung,125,59,503,0.1,0.999,0.966,0.986,0.947,0.883,0.94,0.96
prostate,42,48,426,0.1,0.999,0.918,0.917,0.926,0.231,0.856,0.688
stomach,76,33,380,0.1,0.999,0.961,0.938,0.987,0.242,0.927,0.536
thyroid,127,53,441,0.1,0.999,0.959,0.971,0.949,0.762,0.929,0.89
