dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,8,110,982,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.889
liver,11,48,295,0.1,0.999,0.925,0.86,1.0,0.0,0.86,0.965
lung,31,59,503,0.1,0.999,0.945,0.895,1.0,0.0,0.895,0.966
prostate,10,48,426,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.619
stomach,19,33,380,0.1,0.999,0.958,0.92,1.0,0.0,0.92,0.486
thyroid,31,53,441,0.1,0.999,0.943,0.893,1.0,0.0,0.893,0.883
