dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,71,110,982,0.1,0.999,0.97,0.974,0.967,0.765,0.946,0.902
liver,92,48,295,0.1,0.999,0.965,0.985,0.945,0.91,0.94,0.973
lung,250,59,503,0.1,0.999,0.95,0.987,0.915,0.897,0.913,0.96
prostate,84,48,426,0.1,0.999,0.841,0.948,0.756,0.633,0.743,0.728
stomach,153,33,380,0.1,0.999,0.957,0.943,0.972,0.321,0.92,0.549
thyroid,254,53,441,0.1,0.999,0.953,0.972,0.934,0.779,0.917,0.89
