dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,17,110,982,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.901
liver,23,48,295,0.1,0.999,0.925,0.86,1.0,0.0,0.86,0.968
lung,62,59,503,0.1,0.999,0.974,0.983,0.965,0.858,0.954,0.96
prostate,21,48,426,0.1,0.999,0.947,0.899,1.0,0.0,0.899,0.654
stomach,38,33,380,0.1,0.999,0.959,0.924,0.998,0.048,0.922,0.495
thyroid,63,53,441,0.1,0.999,0.966,0.97,0.963,0.753,0.94,0.895
