dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,53,110,982,0.1,0.999,0.957,0.924,0.993,0.263,0.919,0.901
liver,69,48,295,0.1,0.999,0.967,0.985,0.95,0.91,0.945,0.974
lung,187,59,503,0.1,0.999,0.958,0.986,0.932,0.888,0.927,0.959
prostate,63,48,426,0.1,0.999,0.864,0.947,0.795,0.608,0.776,0.719
stomach,115,33,380,0.1,0.999,0.96,0.942,0.978,0.303,0.924,0.541
thyroid,190,53,441,0.1,0.999,0.956,0.972,0.941,0.775,0.923,0.892
