dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,44,110,982,0.1,0.999,0.948,0.902,1.0,0.03,0.902,0.902
liver,57,48,295,0.1,0.999,0.971,0.984,0.957,0.906,0.95,0.976
lung,156,59,503,0.1,0.999,0.963,0.987,0.94,0.892,0.935,0.959
prostate,53,48,426,0.1,0.999,0.872,0.947,0.808,0.6,0.787,0.707
stomach,96,33,380,0.1,0.999,0.96,0.94,0.981,0.285,0.926,0.532
thyroid,159,53,441,0.1,0.999,0.957,0.97,0.944,0.76,0.924,0.891
